year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1856,Tropical,Africa,0.4517,0.1939,2,0.1061
1856,Tropical,Asia,0.5854,0.2595,2,0.1565
1856,Tropical,Australia-Oceania,0.5573,0.3221,3,0.226
1856,Tropical,North America,0.6465,0.2083,2,0.1354
1856,Tropical,Ocean / Unclassified,0.6575,0.1988,3,0.1004
1856,Tropical,South America,0.3681,0.3056,2,0.1222
1857,Polar,Antarctica,0.8349,0.0683,4,0.1227
1857,Polar,Asia,0.5681,0.1422,5,0.1853
1857,Polar,Europe,0.5475,0.0909,1,0.0455
1857,Polar,North America,0.647,0.075,1,0.2031
1857,Polar,Ocean / Unclassified,0.8267,0.2164,2,0.3731
1857,Temperate,Africa,0.5575,0.0889,3,0.0741
1857,Temperate,Antarctica,0.6466,0.0208,2,0.2743
1857,Temperate,Asia,0.349,0.0316,3,0.0491
1857,Temperate,Australia-Oceania,0.5457,0.0637,2,0.0588
1857,Temperate,Europe,0.3305,0.023,1,0.046
1857,Temperate,North America,0.4579,0.1689,2,0.1351
1857,Temperate,Ocean / Unclassified,0.6477,0.1236,3,0.1022
1857,Temperate,South America,0.5322,0.1111,1,0.1778
1857,Tropical,Africa,0.4532,0.1667,2,0.0909
1857,Tropical,Asia,0.5791,0.1718,2,0.1069
1857,Tropical,Australia-Oceania,0.549,0.0625,3,0.0577
1857,Tropical,North America,0.6476,0.1771,2,0.0625
1857,Tropical,Ocean / Unclassified,0.6576,0.0807,3,0.0551
1857,Tropical,South America,0.3648,0.2889,3,0.1444
1858,Polar,Antarctica,0.8356,0.0544,2,0.2222
1858,Polar,Asia,0.5663,0.0776,3,0.2155
1858,Polar,Europe,0.5418,0.0,0,0.0
1858,Polar,North America,0.6468,0.0312,1,0.175
1858,Polar,Ocean / Unclassified,0.8152,0.0149,1,0.1007
1858,Temperate,Africa,0.5599,0.1,3,0.0519
1858,Temperate,Antarctica,0.6473,0.1285,2,0.309
1858,Temperate,Asia,0.3581,0.1123,2,0.1491
1858,Temperate,Australia-Oceania,0.5571,0.1667,2,0.1127
1858,Temperate,Europe,0.3428,0.1322,1,0.0977
1858,Temperate,North America,0.453,0.0625,2,0.0794
1858,Temperate,Ocean / Unclassified,0.6473,0.1112,3,0.1618
1858,Temperate,South America,0.5297,0.0611,2,0.0778
1858,Tropical,Africa,0.4521,0.0909,3,0.0364
1858,Tropical,Asia,0.5686,0.042,1,0.0687
1858,Tropical,Australia-Oceania,0.5516,0.0913,2,0.1394
1858,Tropical,North America,0.6352,0.0729,1,0.0104
1858,Tropical,Ocean / Unclassified,0.6738,0.126,2,0.1437
1858,Tropical,South America,0.3636,0.0889,3,0.0833
1859,Polar,Antarctica,0.8386,0.1065,2,0.1991
1859,Polar,Asia,0.5777,0.306,4,0.4267
1859,Polar,Europe,0.5518,0.1591,1,0.0682
1859,Polar,North America,0.6446,0.0438,1,0.1094
1859,Polar,Ocean / Unclassified,0.817,0.0037,1,0.0299
1859,Temperate,Africa,0.5648,0.2481,4,0.1778
1859,Temperate,Antarctica,0.6436,0.0069,3,0.2118
1859,Temperate,Asia,0.3573,0.114,2,0.1526
1859,Temperate,Australia-Oceania,0.5426,0.0343,2,0.049
1859,Temperate,Europe,0.3375,0.0747,2,0.0575
1859,Temperate,North America,0.4565,0.1132,2,0.1318
1859,Temperate,Ocean / Unclassified,0.6473,0.0944,2,0.118
1859,Temperate,South America,0.5354,0.1333,1,0.1667
1859,Tropical,Africa,0.4577,0.1697,3,0.1333
1859,Tropical,Asia,0.5754,0.0916,1,0.0916
1859,Tropical,Australia-Oceania,0.5419,0.1058,2,0.101
1859,Tropical,North America,0.6488,0.125,2,0.0625
1859,Tropical,Ocean / Unclassified,0.6655,0.0945,2,0.1122
1859,Tropical,South America,0.3627,0.1444,2,0.1333
1860,Polar,Antarctica,0.8412,0.14,3,0.3623
1860,Polar,Asia,0.5566,0.0259,2,0.0388
1860,Polar,Europe,0.5398,0.0,0,0.0
1860,Polar,North America,0.6401,0.0531,1,0.025
